"","TXNAME","GENEID","ENTREZID","SYMBOL","TXCHROM"
"95","ENSRNOT00000043414","ENSRNOG00000000169","691729","Spata5l1","3"
"96","ENSRNOT00000000184","ENSRNOG00000000170","64469","Slc30a4","3"
"97","ENSRNOT00000068129","ENSRNOG00000000172","691966","Sqor","3"
"98","ENSRNOT00000089204","ENSRNOG00000000172","691966","Sqor","3"
"99","ENSRNOT00000067771","ENSRNOG00000000175","362841","Mier2","7"
"100","ENSRNOT00000090048","ENSRNOG00000000175","362841","Mier2","7"
"101","ENSRNOT00000000193","ENSRNOG00000000177","246115","Plpp2","7"
"102","ENSRNOT00000000200","ENSRNOG00000000184","315388","Tmprss6","7"
"103","ENSRNOT00000000201","ENSRNOG00000000185","192172","Mpst","7"
"104","ENSRNOT00000050511","ENSRNOG00000000186","25274","Tst","7"
"105","ENSRNOT00000000203","ENSRNOG00000000187","171081","Csf2rb","7"
"106","ENSRNOT00000000206","ENSRNOG00000000190","UNKNOWN_ENSRNOG00000000190","UNKNOWN_ENSRNOG00000000190","7"
"107","ENSRNOT00000015986","ENSRNOG00000000195","301097","Vwa5a","8"
"108","ENSRNOT00000000212","ENSRNOG00000000196","25147","Cyp19a1","8"
"109","ENSRNOT00000000215","ENSRNOG00000000199","301101","Dppa5","8"
"110","ENSRNOT00000044944","ENSRNOG00000000201","24422","Gsta2","8"
"111","ENSRNOT00000074515","ENSRNOG00000000204","363113","Syncrip","8"
"112","ENSRNOT00000041655","ENSRNOG00000000204","363113","Syncrip","8"
"113","ENSRNOT00000078891","ENSRNOG00000000204","363113","Syncrip","8"
"114","ENSRNOT00000035371","ENSRNOG00000000219","301111","Ano10","8"
"115","ENSRNOT00000000239","ENSRNOG00000000221","316122","Abhd5","8"
"116","ENSRNOT00000000246","ENSRNOG00000000230","360495","Lmf1","10"
"117","ENSRNOT00000046563","ENSRNOG00000000231","300317","Kctd17","7"
"118","ENSRNOT00000000249","ENSRNOG00000000233","24419","Grm6","10"
"119","ENSRNOT00000000253","ENSRNOG00000000236","303763","Zfp207","10"
"120","ENSRNOT00000000254","ENSRNOG00000000237","303764","RGD1310429","10"
"121","ENSRNOT00000000256","ENSRNOG00000000239","287561","Ccl7","10"
"122","ENSRNOT00000037693","ENSRNOG00000000244","50998","Coil","10"
"123","ENSRNOT00000088215","ENSRNOG00000000245","303772","Slc16a6","10"
"124","ENSRNOT00000078059","ENSRNOG00000000245","303772","Slc16a6","10"
"125","ENSRNOT00000045902","ENSRNOG00000000245","303772","Slc16a6","10"
"126","ENSRNOT00000000263","ENSRNOG00000000246","360650","Amz2","10"
"127","ENSRNOT00000000264","ENSRNOG00000000247","360667","Mfsd11","10"
"128","ENSRNOT00000067739","ENSRNOG00000000248","494445","Srsf2","10"
"129","ENSRNOT00000000266","ENSRNOG00000000249","287918","Mettl23","10"
"130","ENSRNOT00000064671","ENSRNOG00000000250","360665","Jmjd6","10"
"131","ENSRNOT00000042321","ENSRNOG00000000251","287920","St6galnac1","10"
"132","ENSRNOT00000000269","ENSRNOG00000000252","UNKNOWN_ENSRNOG00000000252","UNKNOWN_ENSRNOG00000000252","19"
"133","ENSRNOT00000031977","ENSRNOG00000000257","94338","Smpd3","19"
"134","ENSRNOT00000000275","ENSRNOG00000000258","361402","Prmt7","19"
"135","ENSRNOT00000081312","ENSRNOG00000000258","361402","Prmt7","19"
"136","ENSRNOT00000000279","ENSRNOG00000000262","307834","Zfp821","19"
"137","ENSRNOT00000000281","ENSRNOG00000000264","307973","Def8","19"
"138","ENSRNOT00000000299","ENSRNOG00000000274","309901","Phyhipl","20"
"139","ENSRNOT00000058151","ENSRNOG00000000274","309901","Phyhipl","20"
"140","ENSRNOT00000051491","ENSRNOG00000000275","UNKNOWN_ENSRNOG00000000275","UNKNOWN_ENSRNOG00000000275","20"
"141","ENSRNOT00000000756","ENSRNOG00000000275","UNKNOWN_ENSRNOG00000000275","UNKNOWN_ENSRNOG00000000275","20"
"142","ENSRNOT00000000302","ENSRNOG00000000277","309902","Tet1","20"
"143","ENSRNOT00000057939","ENSRNOG00000000277","309902","Tet1","20"
"144","ENSRNOT00000000304","ENSRNOG00000000279","309912","Rtn4ip1","20"
"145","ENSRNOT00000002576","ENSRNOG00000000281","680409","Prodh1","11"
"146","ENSRNOT00000082855","ENSRNOG00000000281","680409","Prodh1","11"
"147","ENSRNOT00000041975","ENSRNOG00000000282","363831","Gsc2","11"
"148","ENSRNOT00000000308","ENSRNOG00000000283","360741","Ess2","11"
"149","ENSRNOT00000000313","ENSRNOG00000000288","287949","Scarf2","11"
"150","ENSRNOT00000000327","ENSRNOG00000000299","294515","Foxo3","20"
"151","ENSRNOT00000076818","ENSRNOG00000000299","294515","Foxo3","20"
"152","ENSRNOT00000089611","ENSRNOG00000000302","294518","Sesn1","20"
"153","ENSRNOT00000065890","ENSRNOG00000000302","294518","Sesn1","20"
"154","ENSRNOT00000000331","ENSRNOG00000000303","294519","Cep57l1","20"
"155","ENSRNOT00000076522","ENSRNOG00000000304","83689","Cd164","20"
"156","ENSRNOT00000000334","ENSRNOG00000000304","83689","Cd164","20"
"157","ENSRNOT00000000336","ENSRNOG00000000306","83537","Smpd2","20"
"158","ENSRNOT00000000337","ENSRNOG00000000307","294520","Mical1","20"
"159","ENSRNOT00000057175","ENSRNOG00000000308","365590","Zbtb24","20"
"160","ENSRNOT00000000343","ENSRNOG00000000312","309855","Fig4","20"
"161","ENSRNOT00000036365","ENSRNOG00000000314","309858","Sec63","20"
"162","ENSRNOT00000087718","ENSRNOG00000000314","309858","Sec63","20"
"163","ENSRNOT00000000348","ENSRNOG00000000316","309860","Sobp","20"
"164","ENSRNOT00000000351","ENSRNOG00000000320","UNKNOWN_ENSRNOG00000000320","UNKNOWN_ENSRNOG00000000320","20"
"165","ENSRNOT00000000352","ENSRNOG00000000321","25145","Cd24","20"
"166","ENSRNOT00000080283","ENSRNOG00000000322","365601","Atg5","20"
"167","ENSRNOT00000057078","ENSRNOG00000000322","365601","Atg5","20"
"168","ENSRNOT00000048270","ENSRNOG00000000323","309871","Prdm1","20"
"169","ENSRNOT00000076541","ENSRNOG00000000323","309871","Prdm1","20"
"170","ENSRNOT00000075979","ENSRNOG00000000323","309871","Prdm1","20"
"171","ENSRNOT00000000365","ENSRNOG00000000327","361866","Hace1","20"
"172","ENSRNOT00000039305","ENSRNOG00000000335","298485","Ermap","5"
"173","ENSRNOT00000049255","ENSRNOG00000000340","302247","Rtraf","15"
"174","ENSRNOT00000092002","ENSRNOG00000000340","302247","Rtraf","15"
"175","ENSRNOT00000000383","ENSRNOG00000000341","302248","Nid2","15"
"176","ENSRNOT00000082196","ENSRNOG00000000341","302248","Nid2","15"
"177","ENSRNOT00000000387","ENSRNOG00000000345","UNKNOWN_ENSRNOG00000000345","UNKNOWN_ENSRNOG00000000345","6"
"178","ENSRNOT00000037559","ENSRNOG00000000368","54257","Grik2","20"
"179","ENSRNOT00000076234","ENSRNOG00000000368","54257","Grik2","20"
"180","ENSRNOT00000076805","ENSRNOG00000000368","54257","Grik2","20"
"181","ENSRNOT00000057950","ENSRNOG00000000373","UNKNOWN_ENSRNOG00000000373","UNKNOWN_ENSRNOG00000000373","20"
"182","ENSRNOT00000084660","ENSRNOG00000000373","UNKNOWN_ENSRNOG00000000373","UNKNOWN_ENSRNOG00000000373","20"
"183","ENSRNOT00000000423","ENSRNOG00000000376","108349010","LOC108349010","20"
"184","ENSRNOT00000049437","ENSRNOG00000000378","361839","Ctnna3","20"
"185","ENSRNOT00000090083","ENSRNOG00000000383","309760","Mypn","20"
"186","ENSRNOT00000057872","ENSRNOG00000000383","309760","Mypn","20"
"187","ENSRNOT00000000432","ENSRNOG00000000384","365564","Atoh7","20"
"188","ENSRNOT00000000434","ENSRNOG00000000386","171564","Pbld1","20"
"189","ENSRNOT00000000438","ENSRNOG00000000387","361836","Slc25a16","20"
"190","ENSRNOT00000056047","ENSRNOG00000000387","361836","Slc25a16","20"
"191","ENSRNOT00000037409","ENSRNOG00000000390","690777","Rufy2","20"
"192","ENSRNOT00000000441","ENSRNOG00000000392","294385","Supv3l1","20"
"193","ENSRNOT00000080773","ENSRNOG00000000392","294385","Supv3l1","20"
"194","ENSRNOT00000000443","ENSRNOG00000000394","56782","Srgn","20"
"195","ENSRNOT00000078140","ENSRNOG00000000394","56782","Srgn","20"
"196","ENSRNOT00000000444","ENSRNOG00000000395","606294","Kifbp","20"
"197","ENSRNOT00000082114","ENSRNOG00000000396","361848","Ddx50","20"
"198","ENSRNOT00000000446","ENSRNOG00000000396","361848","Ddx50","20"
"199","ENSRNOT00000067004","ENSRNOG00000000397","361849","Ccar1","20"
"200","ENSRNOT00000000448","ENSRNOG00000000398","294390","Zup1","20"
"201","ENSRNOT00000000451","ENSRNOG00000000401","294394","Gprc6a","20"
"202","ENSRNOT00000000456","ENSRNOG00000000405","309772","Vgll2","20"
"203","ENSRNOT00000080444","ENSRNOG00000000406","25346","Ros1","20"
"204","ENSRNOT00000000459","ENSRNOG00000000406","25346","Ros1","20"
"205","ENSRNOT00000000462","ENSRNOG00000000407","309773","Dcbld1","20"
"206","ENSRNOT00000057476","ENSRNOG00000000408","309774","Gopc","20"
"207","ENSRNOT00000066492","ENSRNOG00000000410","309775","Nepn","20"
"208","ENSRNOT00000000467","ENSRNOG00000000411","294400","Nus1","20"
"209","ENSRNOT00000000468","ENSRNOG00000000412","502421","Slc35f1","20"
"210","ENSRNOT00000000469","ENSRNOG00000000413","64672","Pln","20"
"211","ENSRNOT00000063920","ENSRNOG00000000414","100365935","Cep85l","20"
"212","ENSRNOT00000087220","ENSRNOG00000000414","100365935","Cep85l","20"
"213","ENSRNOT00000078420","ENSRNOG00000000414","100365935","Cep85l","20"
"214","ENSRNOT00000000471","ENSRNOG00000000415","294408","Asf1a","20"
"215","ENSRNOT00000084420","ENSRNOG00000000415","294408","Asf1a","20"
"216","ENSRNOT00000055249","ENSRNOG00000000417","308870","Numa1","1"
"217","ENSRNOT00000000474","ENSRNOG00000000417","308870","Numa1","1"
"218","ENSRNOT00000000476","ENSRNOG00000000418","309613","Zbtb12","20"
"219","ENSRNOT00000086140","ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","20"
"220","ENSRNOT00000075928","ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","20"
"221","ENSRNOT00000065044","ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","20"
"222","ENSRNOT00000092698","ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","UNKNOWN_ENSRNOG00000000419","20"
"223","ENSRNOT00000076352","ENSRNOG00000000420","294258","Nelfe","20"
"224","ENSRNOT00000000478","ENSRNOG00000000420","294258","Nelfe","20"
"225","ENSRNOT00000075925","ENSRNOG00000000420","294258","Nelfe","20"
"226","ENSRNOT00000000481","ENSRNOG00000000421","294260","Skiv2l","20"
"227","ENSRNOT00000000483","ENSRNOG00000000422","361799","Dxo","20"
"228","ENSRNOT00000000484","ENSRNOG00000000423","UNKNOWN_ENSRNOG00000000423","UNKNOWN_ENSRNOG00000000423","20"
"229","ENSRNOT00000031548","ENSRNOG00000000428","24298","Cyp21a1","20"
"230","ENSRNOT00000077892","ENSRNOG00000000428","24298","Cyp21a1","20"
"231","ENSRNOT00000000492","ENSRNOG00000000431","406169","Atf6b","20"
"232","ENSRNOT00000091258","ENSRNOG00000000431","406169","Atf6b","20"
"233","ENSRNOT00000087550","ENSRNOG00000000431","406169","Atf6b","20"
"234","ENSRNOT00000080649","ENSRNOG00000000431","406169","Atf6b","20"
"235","ENSRNOT00000090090","ENSRNOG00000000431","406169","Atf6b","20"
"236","ENSRNOT00000084938","ENSRNOG00000000431","406169","Atf6b","20"
"237","ENSRNOT00000000494","ENSRNOG00000000432","406168","Fkbpl","20"
"238","ENSRNOT00000000495","ENSRNOG00000000433","406167","Prrt1","20"
"239","ENSRNOT00000091188","ENSRNOG00000000433","406167","Prrt1","20"
"240","ENSRNOT00000000497","ENSRNOG00000000435","54398","Ppt2","20"
"241","ENSRNOT00000087055","ENSRNOG00000000435","54398","Ppt2","20"
"242","ENSRNOT00000086544","ENSRNOG00000000435","54398","Ppt2","20"
"243","ENSRNOT00000077655","ENSRNOG00000000435","54398","Ppt2","20"
"244","ENSRNOT00000090518","ENSRNOG00000000435","54398","Ppt2","20"
"245","ENSRNOT00000083489","ENSRNOG00000000435","54398","Ppt2","20"
"246","ENSRNOT00000080476","ENSRNOG00000000435","54398","Ppt2","20"
"247","ENSRNOT00000091468","ENSRNOG00000000435","54398","Ppt2","20"
"248","ENSRNOT00000068712","ENSRNOG00000000436","406166","Egfl8","20"
"249","ENSRNOT00000000499","ENSRNOG00000000436","406166","Egfl8","20"
"250","ENSRNOT00000088079","ENSRNOG00000000437","406165","Agpat1","20"
"251","ENSRNOT00000088734","ENSRNOG00000000437","406165","Agpat1","20"
"252","ENSRNOT00000091491","ENSRNOG00000000437","406165","Agpat1","20"
"253","ENSRNOT00000000500","ENSRNOG00000000437","406165","Agpat1","20"
"254","ENSRNOT00000084557","ENSRNOG00000000437","406165","Agpat1","20"
"255","ENSRNOT00000088244","ENSRNOG00000000438","407784","Rnf5","20"
"256","ENSRNOT00000000501","ENSRNOG00000000438","407784","Rnf5","20"
"257","ENSRNOT00000000508","ENSRNOG00000000439","81722","Ager","20"
"258","ENSRNOT00000072848","ENSRNOG00000000439","81722","Ager","20"
"259","ENSRNOT00000077561","ENSRNOG00000000439","81722","Ager","20"
"260","ENSRNOT00000084841","ENSRNOG00000000439","81722","Ager","20"
"261","ENSRNOT00000085277","ENSRNOG00000000439","81722","Ager","20"
"262","ENSRNOT00000089721","ENSRNOG00000000439","81722","Ager","20"
"263","ENSRNOT00000091105","ENSRNOG00000000439","81722","Ager","20"
"264","ENSRNOT00000077205","ENSRNOG00000000439","81722","Ager","20"
"265","ENSRNOT00000080289","ENSRNOG00000000439","81722","Ager","20"
"266","ENSRNOT00000000509","ENSRNOG00000000440","406164","Pbx2","20"
"267","ENSRNOT00000082667","ENSRNOG00000000440","406164","Pbx2","20"
"268","ENSRNOT00000000510","ENSRNOG00000000441","406163","Gpsm3","20"
"269","ENSRNOT00000000513","ENSRNOG00000000442","406162","Notch4","20"
"270","ENSRNOT00000086027","ENSRNOG00000000443","103689965","LOC103689965","20"
"271","ENSRNOT00000000514","ENSRNOG00000000443","103689965","LOC103689965","20"
"272","ENSRNOT00000060389","ENSRNOG00000000446","100911983","LOC100911983","20"
"273","ENSRNOT00000088584","ENSRNOG00000000446","100911983","LOC100911983","20"
"274","ENSRNOT00000091203","ENSRNOG00000000446","100911983","LOC100911983","20"
"275","ENSRNOT00000077143","ENSRNOG00000000451","309621","RT1-Ba","20"
"276","ENSRNOT00000000523","ENSRNOG00000000451","309621","RT1-Ba","20"
"277","ENSRNOT00000091096","ENSRNOG00000000451","309621","RT1-Ba","20"
"278","ENSRNOT00000000526","ENSRNOG00000000454","365542","RT1-DOb","20"
"279","ENSRNOT00000092127","ENSRNOG00000000454","365542","RT1-DOb","20"
"280","ENSRNOT00000085724","ENSRNOG00000000454","365542","RT1-DOb","20"
"281","ENSRNOT00000000527","ENSRNOG00000000455","24812","Tap2","20"
"282","ENSRNOT00000083291","ENSRNOG00000000456","24968","Psmb8","20"
"283","ENSRNOT00000000528","ENSRNOG00000000456","24968","Psmb8","20"
"284","ENSRNOT00000089996","ENSRNOG00000000456","24968","Psmb8","20"
"285","ENSRNOT00000082047","ENSRNOG00000000456","24968","Psmb8","20"
"286","ENSRNOT00000000529","ENSRNOG00000000457","24811","Tap1","20"
"287","ENSRNOT00000091362","ENSRNOG00000000457","24811","Tap1","20"
"288","ENSRNOT00000085225","ENSRNOG00000000457","24811","Tap1","20"
"289","ENSRNOT00000088615","ENSRNOG00000000457","24811","Tap1","20"
"290","ENSRNOT00000000532","ENSRNOG00000000459","24967","Psmb9","20"
"291","ENSRNOT00000081162","ENSRNOG00000000459","24967","Psmb9","20"
"292","ENSRNOT00000000535","ENSRNOG00000000461","294276","Brd2","20"
"293","ENSRNOT00000080585","ENSRNOG00000000461","294276","Brd2","20"
"294","ENSRNOT00000082900","ENSRNOG00000000461","294276","Brd2","20"
"295","ENSRNOT00000045533","ENSRNOG00000000463","294279","Col11a2","20"
"296","ENSRNOT00000084117","ENSRNOG00000000463","294279","Col11a2","20"
"297","ENSRNOT00000085547","ENSRNOG00000000463","294279","Col11a2","20"
"298","ENSRNOT00000041613","ENSRNOG00000000464","361801","Rxrb","20"
"299","ENSRNOT00000087670","ENSRNOG00000000464","361801","Rxrb","20"
"300","ENSRNOT00000091182","ENSRNOG00000000464","361801","Rxrb","20"
"301","ENSRNOT00000084638","ENSRNOG00000000464","361801","Rxrb","20"
"302","ENSRNOT00000087895","ENSRNOG00000000464","361801","Rxrb","20"
"303","ENSRNOT00000086978","ENSRNOG00000000464","361801","Rxrb","20"
"304","ENSRNOT00000081588","ENSRNOG00000000464","361801","Rxrb","20"
"305","ENSRNOT00000079967","ENSRNOG00000000464","361801","Rxrb","20"
"306","ENSRNOT00000077357","ENSRNOG00000000465","294281","Slc39a7","20"
"307","ENSRNOT00000000541","ENSRNOG00000000465","294281","Slc39a7","20"
"308","ENSRNOT00000089622","ENSRNOG00000000465","294281","Slc39a7","20"
"309","ENSRNOT00000083873","ENSRNOG00000000465","294281","Slc39a7","20"
"310","ENSRNOT00000081486","ENSRNOG00000000466","361802","Hsd17b8","20"
"311","ENSRNOT00000091622","ENSRNOG00000000466","361802","Hsd17b8","20"
"312","ENSRNOT00000081163","ENSRNOG00000000466","361802","Hsd17b8","20"
"313","ENSRNOT00000000542","ENSRNOG00000000466","361802","Hsd17b8","20"
"314","ENSRNOT00000083728","ENSRNOG00000000466","361802","Hsd17b8","20"
"315","ENSRNOT00000091369","ENSRNOG00000000466","361802","Hsd17b8","20"
"316","ENSRNOT00000081085","ENSRNOG00000000467","309626","Ring1","20"
"317","ENSRNOT00000000543","ENSRNOG00000000467","309626","Ring1","20"
"318","ENSRNOT00000000549","ENSRNOG00000000470","25218","Vps52","20"
"319","ENSRNOT00000092306","ENSRNOG00000000470","25218","Vps52","20"
"320","ENSRNOT00000092458","ENSRNOG00000000470","25218","Vps52","20"
"321","ENSRNOT00000092640","ENSRNOG00000000470","25218","Vps52","20"
"322","ENSRNOT00000092605","ENSRNOG00000000470","25218","Vps52","20"
"323","ENSRNOT00000092539","ENSRNOG00000000470","25218","Vps52","20"
"324","ENSRNOT00000000550","ENSRNOG00000000471","171079","B3galt4","20"
"325","ENSRNOT00000000553","ENSRNOG00000000473","309629","Pfdn6","20"
"326","ENSRNOT00000092676","ENSRNOG00000000473","309629","Pfdn6","20"
"327","ENSRNOT00000092723","ENSRNOG00000000473","309629","Pfdn6","20"
"328","ENSRNOT00000092555","ENSRNOG00000000473","309629","Pfdn6","20"
"329","ENSRNOT00000092372","ENSRNOG00000000474","294283","Rgl2","20"
"330","ENSRNOT00000000554","ENSRNOG00000000474","294283","Rgl2","20"
"331","ENSRNOT00000092727","ENSRNOG00000000474","294283","Rgl2","20"
"332","ENSRNOT00000092380","ENSRNOG00000000474","294283","Rgl2","20"
"333","ENSRNOT00000092234","ENSRNOG00000000474","294283","Rgl2","20"
"334","ENSRNOT00000092702","ENSRNOG00000000474","294283","Rgl2","20"
"335","ENSRNOT00000000558","ENSRNOG00000000476","309630","Zbtb22","20"
"336","ENSRNOT00000000559","ENSRNOG00000000477","140926","Daxx","20"
"337","ENSRNOT00000092479","ENSRNOG00000000477","140926","Daxx","20"
"338","ENSRNOT00000092597","ENSRNOG00000000477","140926","Daxx","20"
"339","ENSRNOT00000092697","ENSRNOG00000000477","140926","Daxx","20"
"340","ENSRNOT00000092272","ENSRNOG00000000477","140926","Daxx","20"
"341","ENSRNOT00000092677","ENSRNOG00000000477","140926","Daxx","20"
"342","ENSRNOT00000092447","ENSRNOG00000000478","294284","AA926063","20"
"343","ENSRNOT00000092503","ENSRNOG00000000478","294284","AA926063","20"
"344","ENSRNOT00000000560","ENSRNOG00000000478","294284","AA926063","20"
"345","ENSRNOT00000065349","ENSRNOG00000000479","294286","Kifc1","20"
